httpRequest.latency,httpRequest.protocol,httpRequest.referer,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,"labels.""commit-sha""","labels.""gcb-build-id""","labels.""gcb-trigger-id""","labels.""gcb-trigger-region""",labels.instanceId,"labels.""managed-by""",logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
0.053434239s,HTTP/1.1,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products,193.107.177.40,GET,1469,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products?_rsc=1d8bb,6521,216.239.34.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 OPR/109.0.0.0",66298353000bf878f56d447e,9ae4b90e54edba88f8e65fbe9324bb4107a5aabb,f7c40490-7e70-4d2f-94de-85dce8cc89a3,d7f1f952-1071-43d3-b8a1-5716ac69978b,global,00f46b9285e2ac76dd0b32a2ec7bc803cc62dcc187f5f4daa831a503ebf356014976f494531f1a1815e81e39290aad562c049e979473a26039baab99e1f9813e3a32,gcp-cloud-build-deploy-cloud-run,projects/production-environment-412808/logs/run.googleapis.com%2Frequests,,2024-04-24T22:10:28.109130338Z,mkt-admin-panel,europe-west1,production-environment-412808,mkt-admin-panel-00012-s45,mkt-admin-panel,cloud_run_revision,INFO,8709349490825972905,,2024-04-24T22:10:27.729239Z,projects/production-environment-412808/traces/9d7ffa55d2e61402f8802360e0fff3b7,
0.068237579s,HTTP/1.1,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products,193.107.177.40,GET,1468,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products?_rsc=1d8bb,6521,216.239.34.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 OPR/109.0.0.0",66298352000c30d73c21e7b1,9ae4b90e54edba88f8e65fbe9324bb4107a5aabb,f7c40490-7e70-4d2f-94de-85dce8cc89a3,d7f1f952-1071-43d3-b8a1-5716ac69978b,global,00f46b9285e2ac76dd0b32a2ec7bc803cc62dcc187f5f4daa831a503ebf356014976f494531f1a1815e81e39290aad562c049e979473a26039baab99e1f9813e3a32,gcp-cloud-build-deploy-cloud-run,projects/production-environment-412808/logs/run.googleapis.com%2Frequests,,2024-04-24T22:10:27.110282835Z,mkt-admin-panel,europe-west1,production-environment-412808,mkt-admin-panel-00012-s45,mkt-admin-panel,cloud_run_revision,INFO,6602388675461417763,,2024-04-24T22:10:26.729125Z,projects/production-environment-412808/traces/c38b4ff35aee208dc18475830df84c55,true
0.078062129s,HTTP/1.1,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products,193.107.177.40,GET,1468,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products?_rsc=1d8bb,6521,216.239.34.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 OPR/109.0.0.0",66298350000c624aab725c77,9ae4b90e54edba88f8e65fbe9324bb4107a5aabb,f7c40490-7e70-4d2f-94de-85dce8cc89a3,d7f1f952-1071-43d3-b8a1-5716ac69978b,global,00f46b9285e2ac76dd0b32a2ec7bc803cc62dcc187f5f4daa831a503ebf356014976f494531f1a1815e81e39290aad562c049e979473a26039baab99e1f9813e3a32,gcp-cloud-build-deploy-cloud-run,projects/production-environment-412808/logs/run.googleapis.com%2Frequests,,2024-04-24T22:10:25.114226897Z,mkt-admin-panel,europe-west1,production-environment-412808,mkt-admin-panel-00012-s45,mkt-admin-panel,cloud_run_revision,INFO,10084998670939085296,,2024-04-24T22:10:24.731892Z,projects/production-environment-412808/traces/4a714876df0047a032711e9e60e07968,
0.100582788s,HTTP/1.1,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products,193.107.177.40,GET,1468,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products?_rsc=1d8bb,6521,216.239.34.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 OPR/109.0.0.0",6629834f000cc7fe9a6b92b6,9ae4b90e54edba88f8e65fbe9324bb4107a5aabb,f7c40490-7e70-4d2f-94de-85dce8cc89a3,d7f1f952-1071-43d3-b8a1-5716ac69978b,global,00f46b9285e2ac76dd0b32a2ec7bc803cc62dcc187f5f4daa831a503ebf356014976f494531f1a1815e81e39290aad562c049e979473a26039baab99e1f9813e3a32,gcp-cloud-build-deploy-cloud-run,projects/production-environment-412808/logs/run.googleapis.com%2Frequests,,2024-04-24T22:10:24.122151164Z,mkt-admin-panel,europe-west1,production-environment-412808,mkt-admin-panel-00012-s45,mkt-admin-panel,cloud_run_revision,INFO,12035385663670640266,,2024-04-24T22:10:23.735307Z,projects/production-environment-412808/traces/58e6af92088c4562a5c246875af9a581,
0.051751922s,HTTP/1.1,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products,193.107.177.40,GET,1469,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products?_rsc=1d8bb,6521,216.239.34.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 OPR/109.0.0.0",6629834d000c1695782eca9f,9ae4b90e54edba88f8e65fbe9324bb4107a5aabb,f7c40490-7e70-4d2f-94de-85dce8cc89a3,d7f1f952-1071-43d3-b8a1-5716ac69978b,global,00f46b9285e2ac76dd0b32a2ec7bc803cc62dcc187f5f4daa831a503ebf356014976f494531f1a1815e81e39290aad562c049e979473a26039baab99e1f9813e3a32,gcp-cloud-build-deploy-cloud-run,projects/production-environment-412808/logs/run.googleapis.com%2Frequests,,2024-04-24T22:10:22.116959236Z,mkt-admin-panel,europe-west1,production-environment-412808,mkt-admin-panel-00012-s45,mkt-admin-panel,cloud_run_revision,INFO,729930977868106160,,2024-04-24T22:10:21.738401Z,projects/production-environment-412808/traces/c1b3be9edafb67d779fbe2d0301c9669,
0.068173759s,HTTP/1.1,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products,193.107.177.40,GET,1468,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products?_rsc=1d8bb,6521,216.239.34.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 OPR/109.0.0.0",6629834c000c4b673cbfb577,9ae4b90e54edba88f8e65fbe9324bb4107a5aabb,f7c40490-7e70-4d2f-94de-85dce8cc89a3,d7f1f952-1071-43d3-b8a1-5716ac69978b,global,00f46b9285e2ac76dd0b32a2ec7bc803cc62dcc187f5f4daa831a503ebf356014976f494531f1a1815e81e39290aad562c049e979473a26039baab99e1f9813e3a32,gcp-cloud-build-deploy-cloud-run,projects/production-environment-412808/logs/run.googleapis.com%2Frequests,,2024-04-24T22:10:21.116657349Z,mkt-admin-panel,europe-west1,production-environment-412808,mkt-admin-panel-00012-s45,mkt-admin-panel,cloud_run_revision,INFO,16068547751426192964,,2024-04-24T22:10:20.736039Z,projects/production-environment-412808/traces/66b3afe447fb58fa5648b44d0352d5fa,
0.052929421s,HTTP/1.1,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products,193.107.177.40,GET,1468,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products?_rsc=1d8bb,6521,216.239.34.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 OPR/109.0.0.0",6629834a000c169c7d39bf1e,9ae4b90e54edba88f8e65fbe9324bb4107a5aabb,f7c40490-7e70-4d2f-94de-85dce8cc89a3,d7f1f952-1071-43d3-b8a1-5716ac69978b,global,00f46b9285e2ac76dd0b32a2ec7bc803cc62dcc187f5f4daa831a503ebf356014976f494531f1a1815e81e39290aad562c049e979473a26039baab99e1f9813e3a32,gcp-cloud-build-deploy-cloud-run,projects/production-environment-412808/logs/run.googleapis.com%2Frequests,,2024-04-24T22:10:19.118209369Z,mkt-admin-panel,europe-west1,production-environment-412808,mkt-admin-panel-00012-s45,mkt-admin-panel,cloud_run_revision,INFO,624935090737210595,,2024-04-24T22:10:18.737452Z,projects/production-environment-412808/traces/9203edc1d0040ea70665cfccc3b7ba16,
0.049723551s,HTTP/1.1,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products,193.107.177.40,GET,1469,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products?_rsc=1d8bb,6521,216.239.34.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 OPR/109.0.0.0",66298349000bdbf9e42dbc28,9ae4b90e54edba88f8e65fbe9324bb4107a5aabb,f7c40490-7e70-4d2f-94de-85dce8cc89a3,d7f1f952-1071-43d3-b8a1-5716ac69978b,global,00f46b9285e2ac76dd0b32a2ec7bc803cc62dcc187f5f4daa831a503ebf356014976f494531f1a1815e81e39290aad562c049e979473a26039baab99e1f9813e3a32,gcp-cloud-build-deploy-cloud-run,projects/production-environment-412808/logs/run.googleapis.com%2Frequests,,2024-04-24T22:10:17.788670840Z,mkt-admin-panel,europe-west1,production-environment-412808,mkt-admin-panel-00012-s45,mkt-admin-panel,cloud_run_revision,INFO,10215671926946241337,,2024-04-24T22:10:17.725739Z,projects/production-environment-412808/traces/65b72a867611a84665e4b14c7797853e,
0.079537554s,HTTP/1.1,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products,193.107.177.40,GET,1469,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products?_rsc=1d8bb,6521,216.239.34.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 OPR/109.0.0.0",66298347000ca44dd0ea8819,9ae4b90e54edba88f8e65fbe9324bb4107a5aabb,f7c40490-7e70-4d2f-94de-85dce8cc89a3,d7f1f952-1071-43d3-b8a1-5716ac69978b,global,00f46b9285e2ac76dd0b32a2ec7bc803cc62dcc187f5f4daa831a503ebf356014976f494531f1a1815e81e39290aad562c049e979473a26039baab99e1f9813e3a32,gcp-cloud-build-deploy-cloud-run,projects/production-environment-412808/logs/run.googleapis.com%2Frequests,,2024-04-24T22:10:16.121026154Z,mkt-admin-panel,europe-west1,production-environment-412808,mkt-admin-panel-00012-s45,mkt-admin-panel,cloud_run_revision,INFO,15357430969712509331,,2024-04-24T22:10:15.747118Z,projects/production-environment-412808/traces/e5de4fcc3f4b75304b47a9419569a50a,
0.047811147s,HTTP/1.1,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products,193.107.177.40,GET,1468,https://mkt-admin-panel-gqyecvuz2q-ew.a.run.app/products?_rsc=1d8bb,6521,216.239.34.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 OPR/109.0.0.0",66298346000c14e7c5cd9069,9ae4b90e54edba88f8e65fbe9324bb4107a5aabb,f7c40490-7e70-4d2f-94de-85dce8cc89a3,d7f1f952-1071-43d3-b8a1-5716ac69978b,global,00f46b9285e2ac76dd0b32a2ec7bc803cc62dcc187f5f4daa831a503ebf356014976f494531f1a1815e81e39290aad562c049e979473a26039baab99e1f9813e3a32,gcp-cloud-build-deploy-cloud-run,projects/production-environment-412808/logs/run.googleapis.com%2Frequests,,2024-04-24T22:10:15.122142461Z,mkt-admin-panel,europe-west1,production-environment-412808,mkt-admin-panel-00012-s45,mkt-admin-panel,cloud_run_revision,INFO,2526740488217978369,,2024-04-24T22:10:14.742041Z,projects/production-environment-412808/traces/2e25b91cb541b86884a9eaf7024ea0c8,true
